Instance;Méthode;Temps CPU (s);Longueur;Longueur minimale théorique;Différence (%)
./data/a280.tsp;nn;0.0008;3182.087868826105;2586.769647563161;23.01
./data/a280.tsp;rw;9e-06;34501.736884119935;2586.769647563161;1233.78
./data/a280.tsp;2optnn;0.046353;2824.462480596856;2586.769647563161;9.19
./data/a280.tsp;2optrw;0.825295;2824.766976382148;2586.769647563161;9.2
./data/a280.tsp;ga;0.810128;2815.321470572474;2586.769647563161;8.84
./data/a280.tsp;gadpx;6.17418;2727.2289273423794;2586.769647563161;5.43
./data/att48.tsp;nn;2.8e-05;12861.0;10628.0;21.01
./data/att48.tsp;rw;3e-06;51460.0;10628.0;384.19
./data/att48.tsp;2optnn;0.000886;10782.0;10628.0;1.45
./data/att48.tsp;2optrw;0.004056;10968.0;10628.0;3.2
./data/att48.tsp;ga;0.157793;11546.0;10628.0;8.64
./data/att48.tsp;gadpx;0.085069;10757.0;10628.0;1.21
./data/berlin52.tsp;nn;4.5e-05;8980.91827932919;7544.365901904086;19.04
./data/berlin52.tsp;rw;4e-06;31585.339492191208;7544.365901904086;318.66
./data/berlin52.tsp;2optnn;0.00072;7969.135917086051;7544.365901904086;5.63
./data/berlin52.tsp;2optrw;0.002347;8565.343461695433;7544.365901904086;13.53
./data/berlin52.tsp;ga;0.17065;8363.341921718067;7544.365901904086;10.86
./data/berlin52.tsp;gadpx;0.073544;7598.442340904539;7544.365901904086;0.72
./data/ch130.tsp;nn;0.000184;7575.286291798959;6110.86094968039;23.96
./data/ch130.tsp;rw;4e-06;49388.48676147898;6110.86094968039;708.21
./data/ch130.tsp;2optnn;0.007799;6676.928756237301;6110.86094968039;9.26
./data/ch130.tsp;2optrw;0.080347;6363.747726142044;6110.86094968039;4.14
./data/ch130.tsp;ga;0.362227;10165.531491701282;6110.86094968039;66.35
./data/ch130.tsp;gadpx;0.869787;6289.6021381106375;6110.86094968039;2.92
./data/ch150.tsp;nn;0.000355;8194.614331512179;6532.280933145755;25.45
./data/ch150.tsp;rw;7e-06;56334.75066637671;6532.280933145755;762.41
./data/ch150.tsp;2optnn;0.023208;6837.250397992178;6532.280933145755;4.67
./data/ch150.tsp;2optrw;0.137233;6877.172742056176;6532.280933145755;5.28
./data/ch150.tsp;ga;0.426135;11970.86153178132;6532.280933145755;83.26
./data/ch150.tsp;gadpx;0.979066;6796.301267728767;6532.280933145755;4.04
./data/eil101.tsp;nn;0.000145;847.5889514714933;642.3095357906021;31.96
./data/eil101.tsp;rw;5e-06;3535.3369641318964;642.3095357906021;450.41
./data/eil101.tsp;2optnn;0.0096;680.3526344041537;642.3095357906021;5.92
./data/eil101.tsp;2optrw;0.031894;677.0333256613015;642.3095357906021;5.41
./data/eil101.tsp;ga;0.314784;868.3823168173282;642.3095357906021;35.2
./data/eil101.tsp;gadpx;0.538843;657.0014352482253;642.3095357906021;2.29
./data/eil51.tsp;nn;3.4e-05;513.610006884723;429.983311983384;19.45
./data/eil51.tsp;rw;5e-06;1681.6201720664797;429.983311983384;291.09
./data/eil51.tsp;2optnn;0.000815;442.2985810804892;429.983311983384;2.86
./data/eil51.tsp;2optrw;0.002697;449.1903682270837;429.983311983384;4.47
./data/eil51.tsp;ga;0.166855;468.31382152224063;429.983311983384;8.91
./data/eil51.tsp;gadpx;0.074579;435.0625974410502;429.983311983384;1.18
./data/eil76.tsp;nn;7.4e-05;669.2436806855501;545.3875524687446;22.71
./data/eil76.tsp;rw;4e-06;2358.6685074981237;545.3875524687446;332.48
./data/eil76.tsp;2optnn;0.002672;579.4066748885617;545.3875524687446;6.24
./data/eil76.tsp;2optrw;0.012615;593.3254677784442;545.3875524687446;8.79
./data/eil76.tsp;ga;0.247945;707.0670732145296;545.3875524687446;29.64
./data/eil76.tsp;gadpx;0.248736;557.7940843778401;545.3875524687446;2.27
./data/gr202.tsp;nn;0.000421;49336.0;40160.0;22.85
./data/gr202.tsp;rw;6e-06;271951.0;40160.0;577.17
./data/gr202.tsp;2optnn;0.046067;42800.0;40160.0;6.57
