Instance;Méthode;Temps CPU (s);Longueur;Longueur minimale théorique;Différence (%)
./data/a280.tsp;nn;0.000811;3182.087868826105;2586.769647563161;23.01
./data/a280.tsp;rw;8e-06;34777.77622876837;2586.769647563161;1244.45
./data/a280.tsp;2optnn;0.047862;2824.462480596856;2586.769647563161;9.19
./data/a280.tsp;2optrw;0.524352;2804.3724141409093;2586.769647563161;8.41
./data/a280.tsp;ga;0.816655;2818.6216422394746;2586.769647563161;8.96
./data/a280.tsp;gadpx;4.139705;2719.147086789264;2586.769647563161;5.12
./data/att48.tsp;nn;3.5e-05;12861.0;10628.0;21.01
./data/att48.tsp;rw;2e-06;50637.0;10628.0;376.45
./data/att48.tsp;2optnn;0.000585;10782.0;10628.0;1.45
./data/att48.tsp;2optrw;0.001696;10756.0;10628.0;1.2
./data/att48.tsp;ga;0.157016;12469.0;10628.0;17.32
./data/att48.tsp;gadpx;0.064858;10815.0;10628.0;1.76
./data/berlin52.tsp;nn;4.3e-05;8980.91827932919;7544.365901904086;19.04
./data/berlin52.tsp;rw;4e-06;31797.700843610623;7544.365901904086;321.48
./data/berlin52.tsp;2optnn;0.000428;7969.135917086051;7544.365901904086;5.63
./data/berlin52.tsp;2optrw;0.001746;7947.546892073706;7544.365901904086;5.34
./data/berlin52.tsp;ga;0.171884;8356.277415394054;7544.365901904086;10.76
./data/berlin52.tsp;gadpx;0.084058;7773.823384560918;7544.365901904086;3.04
./data/ch130.tsp;nn;0.000184;7575.286291798959;6110.86094968039;23.96
./data/ch130.tsp;rw;4e-06;46699.47297403733;6110.86094968039;664.2
./data/ch130.tsp;2optnn;0.007875;6676.928756237301;6110.86094968039;9.26
./data/ch130.tsp;2optrw;0.068669;6444.849869588634;6110.86094968039;5.47
./data/ch130.tsp;ga;0.367255;10096.040486860073;6110.86094968039;65.21
./data/ch130.tsp;gadpx;0.807588;6377.237327049631;6110.86094968039;4.36
./data/ch150.tsp;nn;0.00025;8194.614331512179;6532.280933145755;25.45
./data/ch150.tsp;rw;6e-06;56345.309806273166;6532.280933145755;762.57
./data/ch150.tsp;2optnn;0.018564;6837.250397992178;6532.280933145755;4.67
./data/ch150.tsp;2optrw;0.075633;7041.86801146752;6532.280933145755;7.8
./data/ch150.tsp;ga;0.412552;11254.632125617429;6532.280933145755;72.29
./data/ch150.tsp;gadpx;0.862985;6731.127261667904;6532.280933145755;3.04
./data/eil101.tsp;nn;0.00016;847.5889514714933;642.3095357906021;31.96
./data/eil101.tsp;rw;6e-06;3549.8659800247524;642.3095357906021;452.67
./data/eil101.tsp;2optnn;0.01196;680.3526344041537;642.3095357906021;5.92
./data/eil101.tsp;2optrw;0.04418;669.8802120351766;642.3095357906021;4.29
./data/eil101.tsp;ga;0.288343;898.6422400137261;642.3095357906021;39.91
./data/eil101.tsp;gadpx;0.358811;670.5909754947327;642.3095357906021;4.4
./data/eil51.tsp;nn;4.6e-05;513.610006884723;429.983311983384;19.45
./data/eil51.tsp;rw;3e-06;1548.682410405645;429.983311983384;260.17
./data/eil51.tsp;2optnn;0.000786;442.2985810804892;429.983311983384;2.86
./data/eil51.tsp;2optrw;0.004006;448.1709277955822;429.983311983384;4.23
