Instance;Méthode;Temps CPU (s);Longueur;Longueur minimale théorique;Différence (%)
./data/a280.tsp;nn;0.000802;3182.087868826105;2586.769647563161;23.01
./data/a280.tsp;rw;1.2e-05;34028.594496254445;2586.769647563161;1215.49
./data/a280.tsp;2optnn;0.050786;2824.462480596856;2586.769647563161;9.19
./data/a280.tsp;2optrw;0.906121;2804.9143282751975;2586.769647563161;8.43
./data/a280.tsp;ga;0.879026;2814.8004952177157;2586.769647563161;8.82
./data/a280.tsp;gadpx;1.089528;33521.32185739481;2586.769647563161;1195.88
./data/att48.tsp;nn;4e-05;12861.0;10628.0;21.01
./data/att48.tsp;rw;3e-06;44917.0;10628.0;322.63
./data/att48.tsp;2optnn;0.000779;10782.0;10628.0;1.45
./data/att48.tsp;2optrw;0.002565;11058.0;10628.0;4.05
./data/att48.tsp;ga;0.181645;11841.0;10628.0;11.41
./data/att48.tsp;gadpx;0.066618;10815.0;10628.0;1.76
./data/berlin52.tsp;nn;4.7e-05;8980.91827932919;7544.365901904086;19.04
./data/berlin52.tsp;rw;3e-06;30623.5272351364;7544.365901904086;305.91
./data/berlin52.tsp;2optnn;0.000525;7969.135917086051;7544.365901904086;5.63
./data/berlin52.tsp;2optrw;0.004606;8164.824855585874;7544.365901904086;8.22
./data/berlin52.tsp;ga;0.177472;8377.850466329308;7544.365901904086;11.05
./data/berlin52.tsp;gadpx;0.09927;7733.745519852829;7544.365901904086;2.51
./data/ch130.tsp;nn;0.00023;7575.286291798959;6110.86094968039;23.96
./data/ch130.tsp;rw;5e-06;46678.20197901699;6110.86094968039;663.86
./data/ch130.tsp;2optnn;0.007613;6676.928756237301;6110.86094968039;9.26
./data/ch130.tsp;2optrw;0.072348;6444.4307997743435;6110.86094968039;5.46
./data/ch130.tsp;ga;0.383006;10652.64279640387;6110.86094968039;74.32
./data/ch130.tsp;gadpx;0.747816;6474.604179193613;6110.86094968039;5.95
./data/ch150.tsp;nn;0.000276;8194.614331512179;6532.280933145755;25.45
./data/ch150.tsp;rw;1e-05;56428.048038608846;6532.280933145755;763.83
./data/ch150.tsp;2optnn;0.023224;6837.250397992178;6532.280933145755;4.67
./data/ch150.tsp;2optrw;0.154116;7119.302277249291;6532.280933145755;8.99
./data/ch150.tsp;ga;0.42582;12953.64670065839;6532.280933145755;98.3
./data/ch150.tsp;gadpx;1.090054;6705.893057914172;6532.280933145755;2.66
./data/eil101.tsp;nn;0.000111;847.5889514714933;642.3095357906021;31.96
